legacy_url,status,target_or_recommendation,reason
https://utahcancer.com/utah-caner-specialists-patient-making-cancer-treatment-look-like-a-piece-of-cake/,review,Recreate as an article/story if valuable; otherwise return 410 after backlink review,Legacy news post has no equivalent new article
https://utahcancer.com/dr-xylina-gregg-oncologist-at-utah-cancer-specialists-president-elect-of-sumo/,redirect,https://utahcancer.com/providers/xylina-gregg.html,Direct story or provider replacement
https://utahcancer.com/amy-jensens-story/,redirect,https://utahcancer.com/stories/amy-jensen.html,Direct story or provider replacement
https://utahcancer.com/attended-recent-event-to-support-cancer-patients-in-the-community/,review,Recreate as an article/story if valuable; otherwise return 410 after backlink review,Legacy news post has no equivalent new article
https://utahcancer.com/a-milestone-of-hope/,redirect,https://utahcancer.com/stories/dukhi-hong.html,Direct story or provider replacement
https://utahcancer.com/dr-william-stephensons-new-works-at-reflections-concert/,review,Recreate as an article/story if valuable; otherwise return 410 after backlink review,Legacy news post has no equivalent new article
https://utahcancer.com/,no_change,https://utahcancer.com/,Homepage remains at the same URL
https://utahcancer.com/covid-19-vaccine-update/,review,Confirm whether content is represented on Patient Resources or Programs & Services; map to an exact section or recreate,Legacy patient resource has no verified one-to-one replacement
https://utahcancer.com/head-and-neck-cancer-treatment-in-utah/,redirect,https://utahcancer.com/specialties/head-neck-cancers.html,Direct specialty replacement
https://utahcancer.com/nosurprisesact/,review,Recreate and obtain content-owner/legal approval before retiring the old page,Policy or patient-rights content has no equivalent production page
https://utahcancer.com/newly-diagnosed/,redirect,https://utahcancer.com/newly-diagnosed.html,Direct replacement
https://utahcancer.com/patient-education/,redirect,https://utahcancer.com/patient-education.html,Direct replacement
https://utahcancer.com/education-videos/,review,Confirm whether content is represented on Patient Resources or Programs & Services; map to an exact section or recreate,Legacy patient resource has no verified one-to-one replacement
https://utahcancer.com/articles/,redirect,https://utahcancer.com/events/,Direct replacement
https://utahcancer.com/termsandconditions/,review,Recreate and obtain content-owner/legal approval before retiring the old page,Policy or patient-rights content has no equivalent production page
https://utahcancer.com/covid-19/,review,Confirm whether content is represented on Patient Resources or Programs & Services; map to an exact section or recreate,Legacy patient resource has no verified one-to-one replacement
https://utahcancer.com/visitorandguestinfo/,review,Confirm whether content is represented on Patient Resources or Programs & Services; map to an exact section or recreate,Legacy patient resource has no verified one-to-one replacement
https://utahcancer.com/housing/,review,Confirm whether content is represented on Patient Resources or Programs & Services; map to an exact section or recreate,Legacy patient resource has no verified one-to-one replacement
https://utahcancer.com/nutrition/,review,Confirm whether content is represented on Patient Resources or Programs & Services; map to an exact section or recreate,Legacy patient resource has no verified one-to-one replacement
https://utahcancer.com/personalsafety/,review,Confirm whether content is represented on Patient Resources or Programs & Services; map to an exact section or recreate,Legacy patient resource has no verified one-to-one replacement
https://utahcancer.com/cleaning/,review,Confirm whether content is represented on Patient Resources or Programs & Services; map to an exact section or recreate,Legacy patient resource has no verified one-to-one replacement
https://utahcancer.com/transportation/,review,Confirm whether content is represented on Patient Resources or Programs & Services; map to an exact section or recreate,Legacy patient resource has no verified one-to-one replacement
https://utahcancer.com/benign-hematology-treatment-in-utah/,redirect,https://utahcancer.com/specialties/benign-hematology.html,Direct specialty replacement
https://utahcancer.com/bladder-cancer-treatment-in-utah/,redirect,https://utahcancer.com/specialties/bladder-cancer.html,Direct specialty replacement
https://utahcancer.com/blood-cancer-treatment-in-utah/,redirect,https://utahcancer.com/specialties/blood-cancers.html,Direct specialty replacement
